k,nbk,pk,type
1,8338,0.8583487749639696,fictive
2,1038,0.10685608400247067,fictive
3,220,0.022647724933086266,fictive
4,77,0.007926703726580194,fictive
5,18,0.0018529956763434219,fictive
6,14,0.001441218859378217,fictive
7,5,5.147210212065061E-4,fictive
8,2,2.0588840848260242E-4,fictive
9,1,1.0294420424130121E-4,fictive
12,1,1.0294420424130121E-4,fictive
1,8865,0.8989048874467653,real
2,724,0.07341310079091462,real
66,1,1.0139931048468871E-4,real
3,145,0.014702900020279863,real
4,64,0.006489555871020077,real
68,1,1.0139931048468871E-4,real
5,26,0.0026363820726019063,real
6,10,0.001013993104846887,real
7,7,7.09795173392821E-4,real
8,3,3.041979314540661E-4,real
9,1,1.0139931048468871E-4,real
10,2,2.0279862096937742E-4,real
11,4,4.0559724193875484E-4,real
12,2,2.0279862096937742E-4,real
13,2,2.0279862096937742E-4,real
47,1,1.0139931048468871E-4,real
16,2,2.0279862096937742E-4,real
50,1,1.0139931048468871E-4,real
29,1,1.0139931048468871E-4,real
